GITTER_ID_1km;x_mp_1km;y_mp_1km;Einwohner
CRS3035RES1000mN2717000E4176000;4176500;2717500;5
CRS3035RES1000mN2717000E4291000;4291500;2717500;394
CRS3035RES1000mN2717000E4292000;4292500;2717500;448
CRS3035RES1000mN2717000E4293000;4293500;2717500;1861
CRS3035RES1000mN2717000E4294000;4294500;2717500;847
CRS3035RES1000mN2717000E4295000;4295500;2717500;1190
CRS3035RES1000mN2717000E4296000;4296500;2717500;835
CRS3035RES1000mN2717000E4297000;4297500;2717500;858
CRS3035RES1000mN2717000E4298000;4298500;2717500;104
CRS3035RES1000mN2717000E4299000;4299500;2717500;163
CRS3035RES1000mN2717000E4300000;4300500;2717500;193
CRS3035RES1000mN2717000E4301000;4301500;2717500;229
CRS3035RES1000mN2717000E4302000;4302500;2717500;67
CRS3035RES1000mN2717000E4307000;4307500;2717500;20
CRS3035RES1000mN2717000E4308000;4308500;2717500;5
CRS3035RES1000mN2717000E4309000;4309500;2717500;132
CRS3035RES1000mN2717000E4310000;4310500;2717500;72
CRS3035RES1000mN2717000E4311000;4311500;2717500;40
CRS3035RES1000mN2717000E4312000;4312500;2717500;56
CRS3035RES1000mN2717000E4313000;4313500;2717500;25
CRS3035RES1000mN2717000E4314000;4314500;2717500;115
CRS3035RES1000mN2717000E4315000;4315500;2717500;32
CRS3035RES1000mN2717000E4316000;4316500;2717500;170
CRS3035RES1000mN2717000E4317000;4317500;2717500;42
CRS3035RES1000mN2717000E4319000;4319500;2717500;110
CRS3035RES1000mN2717000E4320000;4320500;2717500;28
CRS3035RES1000mN2717000E4321000;4321500;2717500;82
CRS3035RES1000mN2717000E4322000;4322500;2717500;83
CRS3035RES1000mN2717000E4323000;4323500;2717500;12
CRS3035RES1000mN2717000E4330000;4330500;2717500;5
CRS3035RES1000mN2717000E4331000;4331500;2717500;37
CRS3035RES1000mN2717000E4332000;4332500;2717500;18
